#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
27100	 4.61	 10.27	 -83.70	 -43.00	 -35.00	 -22.00
27200	 4.61	 10.27	 -83.70	 -43.00	 -35.00	 -22.00
27300	 4.61	 10.24	 -83.49	 -44.00	 -32.00	 -24.00
27400	 4.61	 10.24	 -83.49	 -44.00	 -32.00	 -23.00
27500	 4.61	 10.24	 -83.49	 -44.00	 -32.00	 -23.00
27600	 4.60	 10.23	 -83.27	 -44.00	 -33.00	 -23.00
27700	 4.60	 10.23	 -83.26	 -44.00	 -32.00	 -24.00
27800	 4.60	 10.23	 -83.26	 -44.00	 -32.00	 -24.00
27900	 4.59	 10.20	 -83.05	 -44.00	 -33.00	 -23.00
28000	 4.59	 10.20	 -83.04	 -44.00	 -31.00	 -23.00
28100	 4.59	 10.20	 -83.04	 -44.00	 -31.00	 -23.00
28200	 4.59	 10.19	 -82.83	 -43.00	 -32.00	 -23.00
28300	 4.59	 10.19	 -82.82	 -44.00	 -33.00	 -23.00
28400	 4.59	 10.19	 -82.82	 -44.00	 -33.00	 -23.00
28500	 4.58	 10.18	 -82.60	 -44.00	 -35.00	 -23.00
28600	 4.58	 10.18	 -82.60	 -44.00	 -32.00	 -23.00
28700	 4.58	 10.18	 -82.60	 -44.00	 -32.00	 -23.00
28800	 4.58	 10.17	 -82.38	 -44.00	 -33.00	 -24.00
28900	 4.58	 10.17	 -82.38	 -44.00	 -33.00	 -23.00
29000	 4.58	 10.17	 -82.38	 -44.00	 -33.00	 -23.00
29100	 4.58	 10.17	 -82.16	 -44.00	 -34.00	 -23.00
29200	 4.57	 10.16	 -82.15	 -43.00	 -32.00	 -23.00
29300	 4.57	 10.16	 -82.15	 -43.00	 -32.00	 -23.00
29400	 4.57	 10.16	 -81.95	 -45.00	 -32.00	 -23.00
29500	 4.57	 10.16	 -81.93	 -42.00	 -34.00	 -23.00
29600	 4.57	 10.16	 -81.93	 -42.00	 -34.00	 -23.00
29700	 4.57	 10.15	 -81.72	 -44.00	 -33.00	 -23.00
29800	 4.57	 10.15	 -81.72	 -44.00	 -33.00	 -24.00
29900	 4.57	 10.15	 -81.72	 -44.00	 -33.00	 -24.00
30000	 4.56	 10.15	 -81.50	 -43.00	 -32.00	 -24.00
30100	 4.57	 10.15	 -81.49	 -43.00	 -33.00	 -22.00
